zip_code,time,tavg,tmin,tmax,prcp,snow,wspd
10001,2023-05-22,17.8,13.9,23.3,0.0,0.0,7.4
10001,2023-05-23,15.8,12.8,21.0,0.0,0.0,7.7
10001,2023-05-24,16.8,11.7,24.4,0.0,0.0,6.3
10001,2023-05-25,15.1,10.6,19.4,0.0,0.0,12.5
10001,2023-05-26,17.4,11.7,22.2,0.0,0.0,6.9
10001,2023-05-27,19.1,13.3,25.6,0.0,0.0,6.2
10001,2023-05-28,19.9,15.6,25.6,0.0,0.0,5.7
10001,2023-05-29,20.6,16.1,26.1,0.0,0.0,11.0
10001,2023-05-30,16.6,13.0,21.7,0.0,0.0,8.7
10001,2023-05-31,17.4,10.6,25.0,0.0,0.0,4.4
10001,2023-06-01,21.9,15.0,30.0,0.0,0.0,4.1
10001,2023-06-02,23.7,18.9,31.0,0.0,0.0,5.4
10001,2023-06-03,17.8,13.0,20.6,0.0,0.0,11.6
10001,2023-06-04,15.1,9.4,20.6,0.0,0.0,10.5
10001,2023-06-05,18.8,13.0,24.0,0.0,0.0,7.4
10001,2023-06-06,19.8,15.6,25.6,0.2,0.0,7.7
10001,2023-06-07,17.4,14.4,20.0,0.0,0.0,9.2
10001,2023-06-08,17.1,12.8,22.0,0.1,0.0,4.8
10001,2023-06-09,18.0,14.4,22.2,0.0,0.0,6.9
10001,2023-06-10,19.9,14.4,25.0,1.8,0.0,7.7
10001,2023-06-11,22.3,18.0,27.2,0.0,0.0,5.3
10001,2023-06-12,21.7,19.4,24.4,7.0,0.0,7.8
10001,2023-06-13,21.2,17.8,26.0,0.2,0.0,9.2
10001,2023-06-14,19.7,17.8,24.0,9.9,0.0,7.9
10001,2023-06-15,20.7,16.1,25.0,0.0,0.0,9.6
10001,2023-06-16,20.3,17.2,26.0,17.8,0.0,5.8
10001,2023-06-17,19.9,16.7,25.0,0.0,0.0,11.2
10001,2023-06-18,22.0,17.2,26.7,0.0,0.0,7.8
10001,2023-06-19,22.0,18.9,27.2,0.0,0.0,6.7
10001,2023-06-20,20.7,17.8,25.0,0.0,0.0,9.3
10001,2023-06-21,19.0,16.7,22.2,0.0,0.0,16.3
10001,2023-06-22,18.4,15.6,22.0,1.2,0.0,14.5
10001,2023-06-23,20.0,18.3,22.0,4.1,0.0,6.7
10001,2023-06-24,22.8,20.6,26.0,12.5,0.0,5.6
10001,2023-06-25,24.4,21.7,28.9,1.0,0.0,5.2
10001,2023-06-26,22.5,20.6,25.6,1.7,0.0,8.3
10001,2023-06-27,21.5,19.0,24.4,8.5,0.0,4.6
10001,2023-06-28,23.2,19.0,27.2,1.5,0.0,6.2
10001,2023-06-29,23.1,18.3,27.2,0.0,0.0,6.4
10001,2023-06-30,24.2,21.0,28.3,0.0,0.0,8.2
10001,2023-07-01,23.7,20.6,27.8,0.0,0.0,6.9
10001,2023-07-02,24.7,21.0,29.4,17.0,0.0,5.1
10001,2023-07-03,25.8,22.8,30.6,19.8,0.0,4.4
10001,2023-07-04,24.6,23.0,27.8,1.7,0.0,2.4
10001,2023-07-05,27.5,22.8,33.3,0.0,0.0,4.3
10001,2023-07-06,26.7,21.8,31.7,0.0,0.0,5.2
10001,2023-07-07,26.1,23.9,30.0,0.3,0.0,3.0
10001,2023-07-08,26.4,24.4,31.0,4.7,0.0,6.2
10001,2023-07-09,25.0,22.2,27.2,19.5,0.0,5.0
10001,2023-07-10,24.9,21.7,28.3,7.7,0.0,7.1
10001,2023-07-11,26.0,20.6,31.1,0.0,0.0,6.3
10001,2023-07-12,28.3,24.0,31.7,0.0,0.0,6.5
10001,2023-07-13,27.9,25.0,31.1,0.2,0.0,9.4
10001,2023-07-14,25.3,22.2,28.3,14.3,0.0,7.9
10001,2023-07-15,25.5,22.0,30.6,2.0,0.0,7.7
10001,2023-07-16,25.1,23.9,26.0,20.8,0.0,5.5
10001,2023-07-17,26.9,23.3,31.1,0.0,0.0,6.5
10001,2023-07-18,25.6,23.9,28.3,2.6,0.0,5.3
10001,2023-07-19,24.1,22.8,26.1,1.4,0.0,3.9
10001,2023-07-20,25.4,22.2,30.0,1.8,0.0,5.4
10001,2023-07-21,25.3,21.7,29.0,34.6,0.0,6.6
10001,2023-07-22,24.9,21.1,28.3,0.0,0.0,7.1
10001,2023-07-23,25.3,21.0,30.0,0.1,0.0,4.4
10001,2023-07-24,25.8,23.9,29.4,0.0,0.0,11.0
10001,2023-07-25,24.0,20.6,29.4,16.4,0.0,6.7
10001,2023-07-26,25.1,20.0,30.0,0.0,0.0,5.8
10001,2023-07-27,28.2,23.9,32.8,0.0,0.0,9.0
10001,2023-07-28,28.4,23.9,32.8,0.0,0.0,6.0
10001,2023-07-29,27.6,23.0,31.1,3.4,0.0,8.0
10001,2023-07-30,22.5,18.9,26.1,0.0,0.0,8.0
10001,2023-07-31,23.7,18.9,28.9,0.0,0.0,5.5
10001,2023-08-01,23.0,19.0,26.7,0.0,0.0,8.6
10001,2023-08-02,22.2,17.8,26.7,0.0,0.0,6.0
10001,2023-08-03,22.6,19.4,26.1,0.1,0.0,11.2
10001,2023-08-04,22.9,21.7,24.4,0.6,0.0,6.1
10001,2023-08-05,25.3,21.7,29.4,1.7,0.0,5.4
10001,2023-08-06,25.4,21.0,30.6,0.0,0.0,6.7
10001,2023-08-07,23.5,20.6,27.0,31.9,0.0,10.8
10001,2023-08-08,23.3,21.0,26.1,11.0,0.0,10.8
10001,2023-08-09,25.1,20.6,30.0,0.0,0.0,11.8
10001,2023-08-10,23.2,21.0,26.7,9.4,0.0,4.5
10001,2023-08-11,24.0,18.2,29.0,0.0,0.0,8.3
10001,2023-08-12,25.0,18.2,29.4,0.5,0.0,7.7
10001,2023-08-13,25.5,20.6,30.0,0.9,0.0,8.6
10001,2023-08-14,25.6,18.9,29.4,0.0,0.0,3.3
10001,2023-08-15,23.5,21.0,26.1,17.1,0.0,9.7
10001,2023-08-16,23.6,20.6,27.0,1.6,0.0,5.7
10001,2023-08-17,23.8,22.8,26.0,2.5,0.0,7.6
10001,2023-08-18,23.4,18.9,26.1,4.1,0.0,8.3
10001,2023-08-19,21.5,17.2,25.9,0.0,0.0,8.7
10001,2023-08-20,24.4,19.0,28.9,0.0,0.0,7.1
10001,2023-08-21,26.6,22.8,30.6,0.0,0.0,7.3
10001,2023-08-22,22.9,19.4,25.6,0.0,0.0,8.8
10001,2023-08-23,21.8,18.0,26.7,0.0,0.0,5.7
10001,2023-08-24,21.1,19.4,23.0,2.4,0.0,4.9
10001,2023-08-25,22.8,21.0,25.6,7.1,0.0,6.9
10001,2023-08-26,25.4,23.3,28.9,0.3,0.0,5.5
10001,2023-08-27,24.3,21.1,28.3,0.0,0.0,7.9
10001,2023-08-28,22.5,21.0,24.0,0.0,0.0,8.4
10001,2023-08-29,23.1,20.0,26.1,0.2,0.0,7.2
10001,2023-08-30,24.3,21.0,28.0,0.5,0.0,8.0
10001,2023-08-31,21.0,18.0,24.4,0.0,0.0,12.2
10001,2023-09-01,19.8,16.1,24.0,0.0,0.0,7.9
10001,2023-09-02,21.0,16.7,26.0,0.0,0.0,4.5
10001,2023-09-03,25.8,20.6,31.1,0.2,0.0,7.8
10001,2023-09-04,27.1,23.0,30.6,0.0,0.0,4.5
10001,2023-09-05,28.3,23.9,32.0,0.0,0.0,5.2
10001,2023-09-06,29.1,25.0,33.9,0.0,0.0,4.2
10001,2023-09-07,29.0,24.4,33.9,0.2,0.0,3.9
10001,2023-09-08,24.9,22.0,31.7,9.8,0.0,5.5
10001,2023-09-09,24.4,21.0,28.3,1.8,0.0,4.7
10001,2023-09-10,22.9,20.6,24.0,9.3,0.0,4.6
10001,2023-09-11,23.1,21.0,27.2,14.8,0.0,4.3
10001,2023-09-12,23.1,20.0,27.8,0.1,0.0,3.8
